"Codice articolo","Descrizione","Categoria","Prezzo"
"","MATERIALE FUORI PRODUZIONE O NON FORNIBILE","",""
"","componenti kit richiesti / ordinati ","",""
"","MATERIALE CHIESTO A VACCARI (VERIFICA E RISPONDE SU DISPO.)","","Da caricare in GAMMA (Lucia)"
"","MATERIALE IN ORDINE ","",""
"","MATERIALE DA ORDINARE (CHIESTO A LORELLA)","","Da Listino con Formula FAS"
"Cod. articolo","Descrizione ","CATEGORIA RICAMBIO","Prezzo di Vendita"
"PULSDP16-ASS","Pulsante dp16 assemblato","COMPONENTI MECCANICI","2,5641"
"0-01-0002-00","Altoparlante  8 ohm 1 w mm 50 x 50 0-01-0002-00 628-4709","COMPONENTE ELETTRONICO/ELETTRICO","9,44"
"001-001190","Guarnizione armata per porta e ghigliottina DP","GUARNIZIONI ED O-RING","15,5052"
"021-001-00161","Powerline ether. PA4010kit 500Mbps TP-Link (onde convogliate) xDP60 4-B3","COMPONENTE ELETTRONICO/ELETTRICO","158,048"
"2-00-0051-00-U","Lettore. ICT V7/A7 RIG con stecker da 200  sw. 71JPCEUBA 5","LETTORI DI BANCONOTE","202,05"
"LB-002","Lettore ICT V7-P - Stacker da 300 - STD Bezel - MDB","LETTORI DI BANCONOTE","716,68"
"3-03-0101-09","Hopper X3 Micro CCTalk 24V - beccuccio senza la parte inferiore","HOPPER","224,3204"
"2-00-0137-01","Termostato XR70CX-5N0C9 NTC 2R=8A+5A+16A 230V LGQOBXF500","GRUPPI FRIGO E ACCESSORI","208,4258"
"2-00-0138-01","Sonda NG6 3.0MT  NTC da 40 gradi a 110 gradi - EVTPN630F200","GRUPPI FRIGO E ACCESSORI","11,8"
"2-01-0097-04","X5 Dynamic PayOut new c/cinghia standard, senza slitta e  senza cinch","HOPPER","615,5145"
"2-02-0037-01","Stampante SANEI SK41-21SF - cod. PRNSK421SF - con Baud Rate 9600","STAMPANTI","458,85"
"2-02-0042-00-1","Lettore ICT XBA MDB con stacker da 400 bk","LETTORI DI BANCONOTE","957,03"
"2-02-0044-00","Stampante TG02H USB/RS232/TTL","STAMPANTI","517,845"
"501-11-11-23-00","Maniglia girevole in zama cromata alta.sicur.ch/diverse s/linguetta","COMPONENTI MECCANICI","137,9328"
"056-18-02","serratura tubol alta sicur. h.18 ch/diverse cil. OCTAGON doppia uscita","COMPONENTI MECCANICI","49,7492"
"ALIM-002","Alimentatore LRS-100-12 AC/DC enclosed 1U low profile 100w 12v 8,5A","ALIMENTATORI","33,226"
"ALIM-003","Alimentatore LRS-100-24 AC/DC enclosed 1U low profile 100w 24v 4,5A","ALIMENTATORI","31,7892"
"ALIM-011","Alimentatore  IRM-03-5","ALIMENTATORI",""
"ALIM-012","Alimentatore NDR-240-24 AC/DC 240w 24v - per DD60","ALIMENTATORI","117,189"
"ALIM-014","Alimentatore LRS-150-24","ALIMENTATORI","38,614"
"ALIM-015","Alimentatore XDR-240E-24 AC/DC 240w 24v - per DD60/DD40T","ALIMENTATORI","139,19"
"BATT-12V-1,3A PB","Batteria 12v 1,3 ah pb","COMPONENTE ELETTRONICO/ELETTRICO","23,7888"
"BATT-12V-5A","Batteria 12V 5Ah al Pb AGM VRLA Energy Safe C20 - Cod.00412051","COMPONENTE ELETTRONICO/ELETTRICO","16,048"
"SENS-001","Sensore di vibrazione per kit Tilt - Omron D7E-2","COMPONENTE ELETTRONICO/ELETTRICO","35,1118"
"CAV-02","Cavo di rete LAN lungo mt. 2,0 MCV751","CAVI/CABLAGGI","13,216"
"CPAYP-345-1DP","Toppa chiusura foro scanner grande x DP - PRZ + Ral 9003 Liscio","CARPENTERIE","3,626"
"CR-003","Lettore card AGE-300 per controllo dati anagrafici (per ns. distributori","KIT, AGE300","399,6802"
"CV-16","Cablaggio x POS di  rete UTP cat.5E NoScherm. 1m (CC.0168)","CAVI/CABLAGGI","14,16"
"CV-24","Cavo di rete LAN- L= 5 Mt.","CAVI/CABLAGGI","13,688"
"CV-27","Cablaggio di rete cat.5E NoScherm. mt. 0,30 (DK-1512-003)","CAVI/CABLAGGI","3,367"
"CV-31","Cavo USB lungh. 50 CM. - USB A / USB C - MH654 > PC X86","CAVI/CABLAGGI","11,2336"
"CV-37","Cavo USB A/B (usb-usb) Lunghezza cm. 180","CAVI/CABLAGGI","6,8912"
"CV-39","Cavo USB A/B  cm.100  - Commerciale","CAVI/CABLAGGI","6,844"
